date,total,android,ios,credit_cnt_total,credit_cnt_android,credit_cnt_ios,has_amount_rate,has_amount_rate_android,has_amount_rate_ios
2016-12-23,15569,7967,7602,6036,4148,1888,0.422630881378,0.390308582449,0.493644067797
2016-12-22,15866,8096,7770,6075,4122,1953,0.428148148148,0.389131489568,0.510496671787
2016-12-21,15847,7870,7977,6121,4157,1964,0.443228230681,0.399807553524,0.535132382892
2016-12-20,18110,8635,9475,6785,4573,2212,0.421223286662,0.376776732998,0.513110307414
2016-12-19,16694,8376,8318,6546,4580,1966,0.41445157348,0.373362445415,0.51017293998
2016-12-18,14407,6680,7727,4958,3348,1610,0.431827349738,0.394563918757,0.509316770186
2016-12-17,14563,6811,7752,5108,3590,1518,0.426781519186,0.389415041783,0.515151515152
2016-12-16,15793,7532,8261,5740,3973,1767,0.420383275261,0.380820538636,0.509337860781
2016-12-15,16851,7892,8959,6136,4153,1983,0.419491525424,0.387189983145,0.487140695915
2016-12-14,16584,7848,8736,6117,4214,1903,0.431093673369,0.398671096346,0.50289017341
2016-12-13,15295,7912,7383,6144,4228,1916,0.43408203125,0.400662251656,0.507828810021
2016-12-12,14564,7980,6584,6156,4371,1785,0.422027290448,0.386181651796,0.509803921569
2016-12-11,12237,5686,6551,4276,2802,1474,0.426800748363,0.392219842969,0.492537313433
2016-12-10,12270,6245,6025,4855,3230,1625,0.438311019567,0.395975232198,0.522461538462
2016-12-09,15307,7594,7713,6220,4032,2188,0.436173633441,0.38814484127,0.524680073126
2016-12-08,16542,7619,8923,6330,4138,2192,0.445655608215,0.401643305945,0.528740875912
2016-12-07,16686,8056,8630,6325,4252,2073,0.4404743083,0.392050799624,0.53979739508
2016-12-06,16929,7859,9070,6222,4209,2013,0.436676309868,0.39914468995,0.515151515152
2016-12-05,16679,8056,8623,6280,4322,1958,0.422611464968,0.380148079593,0.516343207354
2016-12-04,14953,6695,8258,5172,3454,1718,0.45475638051,0.417486971627,0.529685681024
2016-12-03,14501,6692,7809,5015,3462,1553,0.435493519442,0.396302715194,0.522858982614
2016-12-02,15710,7756,7954,5863,3965,1898,0.425891181989,0.383102143758,0.515279241307
2016-12-01,16435,8152,8283,6318,4201,2117,0.451725229503,0.411330635563,0.53188474256
2016-11-30,17606,8120,9486,6478,4328,2150,0.443037974684,0.397874306839,0.533953488372
2016-11-29,17191,8040,9151,6324,4307,2017,0.422991777356,0.381239842117,0.512146752603
2016-11-28,16190,7675,8515,6135,4254,1881,0.437978810106,0.399388810531,0.525252525253
2016-11-27,15355,6702,8653,4855,3475,1380,0.432749742533,0.397122302158,0.522463768116
2016-11-26,14409,6802,7607,5240,3571,1669,0.424809160305,0.383646037525,0.512881965249
2016-11-25,15075,7590,7485,5853,4136,1717,0.428669058602,0.393375241779,0.513686662784
2016-11-24,14482,7281,7201,5517,3841,1676,0.430487583832,0.395730278573,0.510143198091
2016-11-23,15060,7539,7521,5500,3963,1537,0.422909090909,0.388089830936,0.5126870527
2016-11-22,16488,7861,8627,5913,4167,1746,0.436495856587,0.397168226542,0.530355097365
2016-11-21,15863,7019,8844,5670,3840,1830,0.430687830688,0.387239583333,0.521857923497
2016-11-20,14836,6402,8434,5249,3379,1870,0.477805296247,0.429416987274,0.565240641711
2016-11-19,14777,6768,8009,5066,3470,1596,0.436241610738,0.401729106628,0.511278195489
2016-11-18,15414,7116,8298,5611,3766,1845,0.448048476207,0.411046202868,0.523577235772
2016-11-17,14313,7230,7083,5527,3807,1720,0.448706350642,0.414236931967,0.525
2016-11-16,14766,7018,7748,5776,3888,1888,0.45256232687,0.410751028807,0.538665254237
2016-11-15,15150,7056,8094,5747,3757,1990,0.473638420045,0.426670215598,0.562311557789
2016-11-14,14447,7094,7353,5288,3580,1708,0.463313161876,0.428770949721,0.535714285714
2016-11-13,12219,6189,6030,4405,3028,1377,0.465607264472,0.422391017173,0.560639070443
2016-11-12,12204,6490,5714,4905,3406,1499,0.462996941896,0.430710510863,0.536357571714
2016-11-11,14044,6501,7543,5547,3576,1971,0.435190192897,0.381711409396,0.532217148656
2016-11-10,14109,6812,7297,5984,3835,2149,0.427306149733,0.378096479791,0.515123313169
2016-11-09,15178,6703,8475,5765,3739,2026,0.470598438855,0.419096014977,0.565646594274
2016-11-08,15345,6845,8500,5865,3814,2051,0.484228473998,0.43864708967,0.568990736226
2016-11-07,15388,6921,8467,5795,3754,2041,0.467126833477,0.416622269579,0.560019598236
2016-11-06,13715,5873,7842,4887,2939,1948,0.478821362799,0.410683906091,0.581622176591
2016-11-05,12039,5975,6064,4828,3121,1707,0.475766362883,0.425184235822,0.568248388987
